LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,SIGN_ON_DATE,COUNTY,TYPE
111,1,5 - Evening,Inbound,144.72,355.95,246.00,7/5/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,178.11,647.03,363.00,7/5/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,753.29,283.91,38.00,7/5/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,207.80,897.80,432.00,7/5/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,712.47,465.81,65.00,7/5/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Outbound,29.68,70.33,237.00,7/5/2013 0:00:00,Hudson,Interstate
111,2,5 - Evening,Inbound,300.57,319.51,106.00,7/5/2013 0:00:00,Hudson,Interstate
111,5,2 - AM Peak,Outbound,1009.33,1079.87,107.00,7/5/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Inbound,103.90,186.15,179.00,7/5/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Outbound,831.21,933.05,112.00,7/5/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Inbound,129.87,347.99,268.00,7/5/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Outbound,122.45,71.04,58.00,7/5/2013 0:00:00,Union,Interstate
111,5,5 - Evening,Inbound,77.92,244.45,314.00,7/5/2013 0:00:00,Union,Interstate
1,1,1 - Early AM,Inbound,132.08,92.29,70.00,7/6/2013 0:00:00,Essex,Local
1,1,1 - Early AM,Outbound,127.36,18.05,14.00,7/6/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Inbound,231.14,382.35,165.00,7/6/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Outbound,275.96,144.00,52.00,7/6/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Inbound,429.27,755.87,176.00,7/6/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Outbound,551.92,259.61,47.00,7/6/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Inbound,165.10,285.19,173.00,7/6/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Outbound,254.73,110.80,43.00,7/6/2013 0:00:00,Essex,Local
1,1,5 - Evening,Inbound,214.63,288.25,134.00,7/6/2013 0:00:00,Essex,Local
1,1,5 - Evening,Outbound,318.41,164.33,52.00,7/6/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Inbound,577.87,140.06,24.00,7/6/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Outbound,382.10,152.80,40.00,7/6/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Inbound,1066.11,556.83,52.00,7/6/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Outbound,955.25,586.96,61.00,7/6/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Inbound,2228.92,981.85,44.00,7/6/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Outbound,2094.48,1021.62,49.00,7/6/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Inbound,806.66,369.87,46.00,7/6/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Outbound,865.62,562.77,65.00,7/6/2013 0:00:00,Essex,Local
1,2,5 - Evening,Inbound,799.58,338.14,42.00,7/6/2013 0:00:00,Essex,Local
1,2,5 - Evening,Outbound,943.46,535.89,57.00,7/6/2013 0:00:00,Essex,Local
1,3,1 - Early AM,Inbound,146.23,14.47,10.00,7/6/2013 0:00:00,Hudson,Local
1,3,1 - Early AM,Outbound,47.17,13.99,30.00,7/6/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Inbound,280.67,62.39,22.00,7/6/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Outbound,174.54,170.54,98.00,7/6/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Inbound,433.99,140.13,32.00,7/6/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Outbound,339.64,323.00,95.00,7/6/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Inbound,155.67,51.62,33.00,7/6/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Outbound,141.51,165.63,117.00,7/6/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Inbound,110.85,31.82,29.00,7/6/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Outbound,132.08,69.77,53.00,7/6/2013 0:00:00,Hudson,Local
1,1,1 - Early AM,Inbound,49.53,25.19,51.00,7/7/2013 0:00:00,Essex,Local
1,1,1 - Early AM,Outbound,84.91,17.27,20.00,7/7/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Inbound,115.57,108.71,94.00,7/7/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Outbound,127.36,23.71,19.00,7/7/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Inbound,264.16,375.79,142.00,7/7/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Outbound,275.96,91.22,33.00,7/7/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Inbound,148.59,150.43,101.00,7/7/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Outbound,191.05,49.39,26.00,7/7/2013 0:00:00,Essex,Local
1,1,5 - Evening,Inbound,148.59,200.70,135.00,7/7/2013 0:00:00,Essex,Local
1,1,5 - Evening,Outbound,212.27,85.22,40.00,7/7/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Inbound,240.58,47.94,20.00,7/7/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Outbound,278.32,59.57,21.00,7/7/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Inbound,490.60,271.39,55.00,7/7/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Outbound,412.76,278.93,68.00,7/7/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Inbound,1235.93,698.94,57.00,7/7/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Outbound,919.87,803.10,87.00,7/7/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Inbound,733.54,286.98,39.00,7/7/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Outbound,669.85,365.03,54.00,7/7/2013 0:00:00,Essex,Local
1,2,5 - Evening,Inbound,592.02,242.41,41.00,7/7/2013 0:00:00,Essex,Local
1,2,5 - Evening,Outbound,665.14,480.67,72.00,7/7/2013 0:00:00,Essex,Local
1,3,1 - Early AM,Inbound,106.13,6.08,6.00,7/7/2013 0:00:00,Hudson,Local
1,3,1 - Early AM,Outbound,47.17,26.53,56.00,7/7/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Inbound,155.67,149.45,96.00,7/7/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Outbound,77.83,80.39,103.00,7/7/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Inbound,238.22,109.72,46.00,7/7/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Outbound,136.80,201.28,147.00,7/7/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Inbound,70.75,21.31,30.00,7/7/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Outbound,84.91,165.14,194.00,7/7/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Inbound,103.78,50.65,49.00,7/7/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Outbound,94.34,100.46,106.00,7/7/2013 0:00:00,Hudson,Local
111,1,2 - AM Peak,Outbound,0.00,0.00,0.00,7/6/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Inbound,178.11,236.98,133.00,7/6/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Outbound,0.00,0.00,0.00,7/6/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Inbound,267.17,507.29,190.00,7/6/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Outbound,0.00,0.00,0.00,7/6/2013 0:00:00,New York,Interstate
111,1,5 - Evening,Inbound,267.17,605.25,227.00,7/6/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,89.05,298.77,335.00,7/6/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,400.76,199.71,50.00,7/6/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,207.80,753.41,363.00,7/6/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,601.14,386.73,64.00,7/6/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Outbound,29.68,35.59,120.00,7/6/2013 0:00:00,Hudson,Interstate
111,2,5 - Evening,Inbound,601.14,439.37,73.00,7/6/2013 0:00:00,Hudson,Interstate
111,5,2 - AM Peak,Outbound,367.36,312.40,85.00,7/6/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Inbound,103.90,152.45,147.00,7/6/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Outbound,857.19,780.96,91.00,7/6/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Inbound,155.85,300.68,193.00,7/6/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Outbound,122.45,39.60,32.00,7/6/2013 0:00:00,Union,Interstate
111,5,5 - Evening,Inbound,155.85,336.93,216.00,7/6/2013 0:00:00,Union,Interstate
111,1,2 - AM Peak,Outbound,0.00,0.00,0.00,7/7/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Inbound,89.05,189.28,213.00,7/7/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Outbound,0.00,0.00,0.00,7/7/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Inbound,267.17,625.37,234.00,7/7/2013 0:00:00,New York,Interstate
111,1,5 - Evening,Inbound,89.05,191.10,215.00,7/7/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,59.37,259.20,437.00,7/7/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,200.38,128.75,64.00,7/7/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,267.17,1274.95,477.00,7/7/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,601.14,469.87,78.00,7/7/2013 0:00:00,Hudson,Interstate
111,2,5 - Evening,Inbound,200.38,165.30,82.00,7/7/2013 0:00:00,Hudson,Interstate
111,5,2 - AM Peak,Outbound,244.91,267.27,109.00,7/7/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Inbound,51.95,98.20,189.00,7/7/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Outbound,1102.10,1309.07,119.00,7/7/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Inbound,155.85,353.11,227.00,7/7/2013 0:00:00,Union,Interstate
111,5,5 - Evening,Inbound,51.95,133.40,257.00,7/7/2013 0:00:00,Union,Interstate
1,1,1 - Early AM,Inbound,179.25,228.23,127.00,7/5/2013 0:00:00,Essex,Local
1,1,1 - Early AM,Outbound,191.05,39.03,20.00,7/5/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Inbound,518.90,440.73,85.00,7/5/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Outbound,679.29,311.15,46.00,7/5/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Inbound,551.92,961.51,174.00,7/5/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Outbound,615.60,430.83,70.00,7/5/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Inbound,379.74,264.19,70.00,7/5/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Outbound,530.69,274.87,52.00,7/5/2013 0:00:00,Essex,Local
1,1,5 - Evening,Inbound,181.61,221.86,122.00,7/5/2013 0:00:00,Essex,Local
1,1,5 - Evening,Outbound,297.19,128.69,43.00,7/5/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Inbound,891.57,321.55,36.00,7/5/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Outbound,636.83,160.46,25.00,7/5/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Inbound,2837.46,1060.79,37.00,7/5/2013 0:00:00,Essex,Local
